Environment,Location,Year,Latitude,Longitude
BZD15,Bozeman_dry,2015,45.6732,-111.1541
CRM15,Crookston,2015,47.818536,-96.613366
HNY15,Ithaca2,2015,42.44556,-76.44095
HTM15,Huntley,2015,45.92,-108.25
KNY15,Ithaca1,2015,42.47111,-76.43611
STP15,St_Paul,2015,44.990091,-93.18324
AID16,Aberdeen,2016,42.95333,-112.82666
ALV16,Alburgh,2016,45.011319,-73.308303
AWI16,Arlington,2016,43.32724,-89.334503
BCW16,Buffalo_county,2016,44.3359889,-91.8369194
BZD16,Bozeman_dry,2016,45.6732,-111.1541
BZI16,Bozeman_irrigated,2016,45.6732,-111.1541
CHM16,Chatham,2016,43.345576,-86.915621
CPE16,Charlotteville,2016,NA,NA
CRM16,Crookston,2016,47.818536,-96.613366
EON16,Elora,2016,43.633333,-80.416667
FND16,Fargo,2016,46.923481,-96.809311
HNY16,Ithaca2,2016,42.44556,-76.44095
KNY16,Ithaca1,2016,42.47111,-76.43611
MWI16,Madison,2016,43.070763,-89.541969
PQC16,Princeville,2016,46.118065,-71.90757
STP16,St_Paul,2016,44.990091,-93.18324
WLI16,West_lafayette,2016,40.473004,-86.991187
AID17,Aberdeen,2017,42.95333,-112.82666
ALV17,Alburgh,2017,45.011319,-73.308303
AWI17,Arlington,2017,43.32724,-89.334503
BCW17,Buffalo_county,2017,44.3359889,-91.8369194
BZD17,Bozeman_dry,2017,45.6732,-111.1541
CHM17,Chatham,2017,43.345576,-86.915621
COH17,Columbus,2017,NA,NA
CPE17,Charlotteville,2017,NA,NA
CRM17,Crookston,2017,47.818536,-96.613366
EON17,Elora,2017,43.633333,-80.416667
FND17,Fargo,2017,46.923481,-96.809311
GRO17,Grande_rhonde_valley,2017,NA,NA
HNY17,Ithaca2,2017,42.44556,-76.44095
HTM17,Huntley,2017,45.92,-108.25
KNY17,Ithaca1,2017,42.47111,-76.43611
MWI17,Madison,2017,43.070763,-89.541969
PQC17,Princeville,2017,46.118065,-71.90757
SMT17,Sidney_MT,2017,NA,NA
STP17,St_Paul,2017,44.990091,-93.18324
WLI17,West_lafayette,2017,40.473004,-86.991187
