Environment,Location,Year,Latitude,Longitude,Planting_date
BZD15,Bozeman,2015,45.6732,-111.1541,20150424
CRM15,Crookston,2015,47.818536,-96.613366,20150416
HNY15,Ithaca2,2015,42.44556,-76.44095,20150504
HTM15,Huntley,2015,45.92,-108.25,20150409
KNY15,Ithaca1,2015,42.47111,-76.43611,20150505
STP15,St_Paul,2015,44.990091,-93.18324,20150416
AID16,Aberdeen,2016,42.95333,-112.82666,20160419
ALV16,Alburgh,2016,45.011319,-73.308303,20160421
AWI16,Arlington,2016,43.32724,-89.334503,20160425
BCW16,Buffalo_county,2016,44.3359889,-91.8369194,20160415
BZD16,Bozeman,2016,45.6732,-111.1541,20160420
BZI16,Bozeman,2016,45.6732,-111.1541,20160422
CHM16,Chatham,2016,46.345576,-86.915621,20160505
CPE16,Charlottetown,2016,46.345318,-63.17933,20160519
CRM16,Crookston,2016,47.818536,-96.613366,20160504
EON16,Elora,2016,43.633333,-80.416667,20160512
FND16,Fargo,2016,46.923481,-96.809311,20160429
HNY16,Ithaca2,2016,42.44556,-76.44095,20160420
KNY16,Ithaca1,2016,42.47111,-76.43611,20160428
MWI16,Madison,2016,43.070763,-89.541969,20160415
PQC16,Princeville,2016,46.118065,-71.90757,20160511
STP16,St_Paul,2016,44.990091,-93.18324,20160504
WLI16,West_lafayette,2016,40.473004,-86.991187,20160322
AID17,Aberdeen,2017,42.95333,-112.82666,
ALV17,Alburgh,2017,45.011319,-73.308303,
AWI17,Arlington,2017,43.19,-89.37,
BCW17,Buffalo_county,2017,44.337443,-91.833104,
BZD17,Bozeman,2017,45.6732,-111.1541,
CHM17,Chatham,2017,46.345278,-86.915833,
COH17,Columbus,2017,40.772357,-81.916437,
CPE17,Charlottetown,2017,46.339186,-63.159295,
CRM17,Crookston,2017,47.818536,-96.613366,
EON17,Elora,2017,43.633333,-80.416667,
FND17,Fargo,2017,46.923481,-96.809311,
GRO17,Grande_rhonde_valley,2017,45.5,-118,
HNY17,Ithaca2,2017,42.44556,-76.44095,
HTM17,Huntley,2017,45.92,-108.25,
KNY17,Ithaca1,2017,42.47111,-76.43611,
MWI17,Madison,2017,43.06,-89.54,
PQC17,Princeville,2017,46.118065,-71.90757,
SMT17,Driscoll_ND,2017,46.851917,-100.077694,
STP17,St_Paul,2017,44.990091,-93.18324,
WLI17,West_lafayette,2017,40.473004,-86.991187,
